Time,Anterior Deltoid,Lateral Deltoid ,Posterior Deltoid,L3 Left
0,49,64,54,0
0.0,49,64,54,0
0.001519,49,63,54,0
0.002025,49,63,54,0
0.003066,49,63,54,0
0.005603,48,63,53,0
0.007282,48,63,53,0
0.007891,48,63,54,0
0.009215,48,63,55,0
0.010146,63,64,54,0
0.011147,65,63,54,0
0.012068,65,63,54,0
0.013113,64,63,54,0
0.014006,64,63,53,0
0.014909,63,63,53,0
0.015957,63,62,52,0
0.016819,63,62,52,0
0.017637,63,62,52,0
0.018489,62,61,51,0
0.019376,62,61,51,0
0.020256,62,61,51,0
0.021256,61,61,52,0
0.02206,61,60,53,0
0.0231,61,70,53,0
0.023905,60,69,53,0
0.024714,60,69,52,0
0.025693,60,68,52,0
0.026639,60,68,51,0
0.027488,59,67,51,0
0.028324,59,67,51,0
0.029209,59,67,51,0
0.030144,58,67,51,0
0.031079,58,66,50,0
0.031886,58,66,50,0
0.032869,57,66,50,0
0.033712,57,65,53,0
0.034558,57,65,58,0
0.03537,56,69,57,0
0.036178,56,68,57,0
0.037165,56,67,57,0
0.03805,56,67,56,0
0.038878,56,67,56,0
0.039713,55,67,56,0
0.041002,55,66,56,0
0.041551,55,66,55,0
0.042459,54,65,55,0
0.043334,54,65,55,0
0.04433,54,65,54,0
0.045312,53,65,54,0
0.046248,53,63,62,0
0.047114,53,63,62,0
0.047863,54,77,61,0
0.048628,54,77,61,0
0.049485,53,76,61,0
0.050344,53,76,61,0
0.051205,53,76,60,0
0.052102,53,75,60,0
0.052992,52,75,60,0
0.054175,52,74,59,0
0.055049,51,74,59,0
0.055902,51,73,59,0
0.056653,51,73,58,0
0.057441,51,73,58,0
0.058346,51,71,65,0
0.059301,50,71,63,0
0.060073,50,79,63,1
0.061076,50,79,63,1
0.062452,50,78,63,1
0.063421,50,78,63,1
0.064227,49,78,62,1
0.065007,49,77,62,1
0.065759,49,76,62,1
0.066574,48,76,61,1
0.067597,48,76,61,1
0.068478,48,76,60,1
0.06951,48,75,60,1
0.070279,48,75,62,1
0.071302,48,74,67,1
0.072123,48,77,67,1
0.07311,48,77,67,1
0.073892,47,76,67,1
0.074808,47,76,66,1
0.07582,47,76,66,1
0.076669,46,75,65,1
0.077614,46,75,65,1
0.078473,46,75,65,1
0.079515,46,74,64,1
0.080288,46,73,63,1
0.081073,45,73,63,1
0.08189,45,73,63,1
0.082934,45,71,63,1
0.083895,45,71,66,1
0.084691,45,76,65,1
0.085571,44,76,65,1
0.086325,44,75,64,1
0.087136,44,75,64,1
0.087962,44,74,63,1
0.088745,43,74,63,1
0.089535,43,73,63,1
0.090372,43,73,63,1
0.091333,43,72,63,1
0.092184,43,71,62,2
0.093093,42,71,62,1
0.093976,42,71,62,1
0.094826,42,71,63,1
0.095666,43,71,65,1
0.096626,56,86,65,1
0.097549,56,85,64,2
0.098459,55,84,64,1
0.099372,55,83,63,1
0.100179,55,83,63,1
0.101182,54,83,63,1
0.101686,54,83,63,1
0.102194,54,82,63,1
0.103036,54,81,62,1
0.104013,53,81,62,1
0.104866,53,81,62,1
0.105677,52,80,61,1
0.106538,52,79,67,1
0.107549,51,79,68,1
0.108497,51,81,67,1
0.109318,51,80,67,1
0.110215,51,80,67,1
0.111215,51,79,67,1
0.112222,51,79,66,1
0.113347,50,79,66,1
0.114196,50,79,65,1
0.115137,49,78,65,1
0.11598,49,78,64,1
0.11678,49,78,64,1
0.1176,49,77,63,1
0.118341,49,76,63,1
0.119089,49,76,67,1
0.119937,48,76,67,1
0.12152,48,79,67,1
0.122303,48,79,67,1
0.123134,48,79,67,1
0.123976,48,79,66,1
0.124866,47,78,66,1
0.125965,47,78,65,1
0.12676,47,77,65,1
0.127558,46,77,65,1
0.128381,46,76,65,1
0.129304,46,76,64,1
0.130109,46,76,63,1
0.131112,45,75,63,1
0.131616,46,75,63,1
0.132438,55,75,63,1
0.133284,101,75,63,1
0.134295,99,74,63,1
0.135047,99,74,62,1
0.135809,99,73,62,1
0.136608,98,73,62,1
